analys|analysis,analysis of the problem 
analysera|(analyze [US]),analyse 
anal:öppning|anus, anal (rectal) orifice (opening) 
anamma|damn,damn it!, bloody hell! 
anamma|accept,take 
anamnes|anamnesis,case history 
ananas|pineapple,a tropical fruit 
ana|have a feeling (idea),imagine 
anarki|anarchy,absence of government; lawlessness 
anarkist|anarchist,a person who advocates anarchy 
anatomi|anatomy,the science dealing with the structural make-up of the (human) body; the structure of the body 
anbefalla|order,enjoin 
anbelanga|as far as the weather goes, you can&amp;#39;t complain about the summer 
anblick|appearance,sight 
anbringa|fit,place 
anbud|tender,bid 
and|(wild) duck,any wild waterfowl of the genus Anas 
anda|breath,atmosphere 
anda|spirit,in the spirit of the law 
andakt|worship,devotion(s) 
andan|breath,hold one&amp;#39;s breath (&amp;quot;refrain from breathing&amp;quot;) 
andas|respire,breathe 
andas|hint at,suggest 
ande|spirit,evil spirit, demon 
ande:dräkt|breath,bad breath, halitosis 
andel|proportion,share 
andels:lägenhet|condominium (flat, apartment) 
andemening|spirit,essence 
andetag|breath,take a deep breath! 
andfådd|breathless, out of breath, puffed out 
and:hämtning|breathing,respiration 
andlig|spiritual,religious 
and:lös|breathless, breathtaking 
andning|respiration,breathing 
andnings:organ|respiratory organ,the lungs 
and:nöd|shortness of breath,dyspnoea 
andra|other 
andra|second,come (in) second 
andrahands:affär|second-hand shop,a shop selling used goods 
andrahands:lägenhet|a sublet (flat etc.),&amp;quot;To sublet a flat you must first obtain permission from your landlord. You may otherwise be evicted. See hyresnämnd.&amp;quot; 
andrahands:värde|second-hand value,trade-in value 
andra|present,advance 
androgyn|androgynous,having masculine and feminine characteristics 
andrum|breathing space,a bit of a breathing space 
anekdot|anecdote,a short, usually amusing story 
anemi|(anemia [US]),anaemia 
anestesi|anaesthesia,(anesthesia [US]) 
anfader|forefather,ancestor 
anfall|attack,enemy attack 
anfall|attack,fit 
anfalla|assault,attack 
anfang|initial (letter),a large, often ornamental, letter used to begin a chapter 
an:fordran|request,demand 
anfrätt|eroded,corroded 
anfäkta|worry,harass 
anföll|attacked 
anföra|adduce, bring forward; name, quote, cite 
anföra|command,lead 
anförande|address,speech 
anföring|quotation,a passage quoted from a speech, etc. 
anförtro|entrust,confide 
anförvant|relative,relation 
ang|ref. 
angav|mentioned,stated 
angelägen|anxious, eager 
angelägen|urgent,pressing 
angelägenhet|matter,concern 
angenäm|pleasant,agreeable 
ange|indicate,state 
ange|report,give (lay) information 
angett|stated, indicated, mentioned; reported 
angick|concerned 
angiven|indicated,mentioned 
angrep|attacked 
angrepp|attack,take (go on) the offensive against social injustice 
angripa|attack,the Centre Party took the Liberals to task over the tax issue 
angränsande|adjacent,adjoining 
angående|concerning, respecting 
angå|concern,have reference to 
angöra|touch,make land 
anhalt|halt,the next stop on their journey was Öland 
anhopning|piling up,accumulation 
anhållan|request,application for a residence permit 
anhållande|apprehension,arrest 
anhålla|request,ask 
anhålla|take into custody, arrest, apprehend, detain 
anhängare|follower,supporter 
anhöll|applied for,arrested 
anhörig|relation,relative 
animalisk|animal,animal foodstuff 
animerad|animated,lively 
aning|touch,trace 
aning|suspicion,idea 
aningslös|naive,unsuspecting 
anis|aniseed,aquavit flavoured with aniseed 
anka|duck,duck pond 
anka|canard,canard 
ankar|anchor,weigh anchor 
ankare|anchor,a device dropped to the bottom from a ship or boat to keep it in the desired place 
ank:damm|parish pump,a place where nothing happens or where unimportant events are accorded undue significance 
ankel|ankle 
anklaga|accuse,be charged with murder 
anklagelse|accusation,charge 
anklang|approval 
ankn|connection 
anknyta|connect, unite, link 
anknytning|connection,attachment 
anknytnings:fall|next-of-kin (family ties) case,an alien permitted to settle in Sweden on the grounds that he or she has a spouse or close relative(s) already living in Sweden 
ankomma|be due,arrive 
ankomma|be up to,depend on 
ankomst|arrival,on arrival in Sweden 
ankra|anchor,drop anchor 
anlag|capacity,tendency 
anledning|cause,reason 
anlete|countenance,visage 
anlita|engage,a musician in great demand 
anlägga|construct,erect 
anläggning|construction,building 
anlända|reach,arrive 
anlöpa|put in at,call at 
anmana|request,urge 
anmodan|order,request 
anmoda|call upon,request 
anmälan|report,announcement 
anmäla|report, announce, notify, give notice of 
anmäla|review,the book was reviewed in Dagens Nyheter 
anmälning|report,notification 
anmärka|find fault,criticize 
anmärka|observe,remark 
anmärkning|complaint,criticism 
anmärkning|remark,observation 
anmärknings:värd|striking,notable 
annalkande|drawing near (close),approaching 
annalkande|approach,be in the offing, be at hand 
annan|another,other 
annandag|Easter Monday,Boxing Day 
annanstans|elsewhere,somewhere else 
annars|otherwise,else 
annektera|annex(e),the area has been annexed by the new régime 
annex|wing,hospital annex 
annons|advert,advertisement 
annonsera|advertise; announce,advertise a sofa 
annorlunda|different,conditions are quite different 
annorlunda|otherwise,differently 
annorstädes|elsewhere,in another place 
annullera|cancel,annul 
anonym|anonymous,anonymous letters 
anor|lineage,ancestry 
anorak|anorak,windproof pullover jacket with a hood 
anordna|organize,arrange 
anordning|device,arrangement 
anorexi|anorexia,anorexia nervosa (&amp;quot;pathological urge to diet&amp;quot;) 
anpassa|adjust,suit 
anpasslig|adjustable,adaptable 
anpassning|adjustment,adaptation 
anpassnings:bidrag|housing adjustment grant 
anpassnings:grupp|adjustment group team,&amp;quot;The team is made up of representatives of the employer, the trade union organizations and the employment office.&amp;quot; 
anrik|of distinguished heritage,traditional 
anrika|enrich,concentrate 
anropa|call,the aircraft called the control tower at Arlanda 
anrätta|cook,prepare 
anrättning|dish, preparation 
ansamling|accumulation,accumulated amount or mass, concentration 
ansa|tend, see to 
ansats|run-up,approach 
ansedd|esteemed,respected 
anseende|esteem,reputation 
anseende|respect,without respect of persons 
ansenlig|considerable,appreciable 
anse|consider,regard 
ansikte|face,mask, face pack 
ansikts:lyftning|face lift,plastic surgery for removing facial defects, such as wrinkles 
ansjovis|tinned sprats cured in brine,the Swedish version of anchovies 
anskaffa|obtain, acquire, get 
anskrämlig|ugly, ghastly, hideous 
anslag|grant, subvention, allowance, appropriation 
anslag|bill,poster 
anslag|touch,stroke 
ansluta|connect,affiliated to a trade union 
anslutning|connection,association 
anslå|put up,post 
anslå|strike,strike (press) a key 
anslå|earmark,assign 
anspela|allude to,hint at 
anspråk|pretension,requirement 
anspråkslös|unassuming,modest 
anstalt|home,institution 
anstifta|cause, provoke, incite, instigate 
anstormning|assault,onrush 
anstränga|strain,exert 
ansträngning|effort,exertion 
anstå|wait,be deferred 
anstånd|deferment,respite 
anstå|befit,as befits a leader 
anställd|employee,look after the interests of the employees 
anställa|employ,(hire [US]) 
anställning|position,situation 
anställnings:skydd|job (employment) security,&amp;quot;The right of employers to give notice to employees is restricted by the provisions of the Employment Security Act.&amp;quot; 
anställningsstöd| 
anständig|respectable,decent 
anstöt|offence,give offence 
anstötlig|offensive,objectionable 
ansvar|responsibility,liability 
ansvara|be responsible (answerable, liable) 
ansvarig|responsible,liable 
ansvars:frihet|freedom from responsibility (liability),grant discharge 
ansvarslös|irresponsible,having no sense of responsibility 
ansåg|considered,regarded 
ansätta|press,beset 
ansökan|application,submit an application for a loan 
ansöka|apply for,apply for citizenship 
ansökning|application,applications for study assistance must have been received by 15th February 
antagande|assumption,supposition 
antagande:poäng|qualifying point,&amp;quot;Used by the Insurance Office to even out differences between disability pension and old-age pension.&amp;quot; 
antagit|accepted,assumed 
antagligen|probably,presumably 
antagonist|antagonist,opponent, enemy 
antal|quantity,number 
anta|presume,suppose 
anta|accept,admit 
anta|assume,adopt 
antasta|molest,he was accosted by a drunk in the underground 
anteckna|note,make a note of 
anteckning|note,take notes during the lesson 
antenn|aerial,(antenna [US]) 
anti-|anti-,antibody 
antibiotika|antibiotics,substances which inhibit the growth of or destroy bacteria and other microorganisms 
anti:hjälte|antihero,protagonist of a book or film who lacks traditional heroic qualities 
antik|antique,an antique chest of drawers 
antiken|antiquity,ancient times, esp. of ancient Greece or Rome; the period before the Middle Ages 
anti:klimax|anticlimax,a descent from the significant to a banal or uninteresting conclusion 
anti:kropp|antibody,a substance (protein) formed by organisms to provide protection against infection, etc. 
antikvariat|second-hand bookshop,a bookshop dealing in used books 
antikverad|outmoded,antiquated 
antikvitet|antique,a valuable object of an earlier period 
antingen|whether,either 
anti:semit|anti-Semite,anti-Semitism 
anti:septisk|antiseptic,which kills germs and harmful bacteria 
antog|accepted,assumed 
antologi|anthology,anthology of poetry 
antropologi|anthropology,the study of human beings, esp. as social beings 
anträffa|meet with,find 
antydan|suggestion,indication 
antyda|hint,suggest 
antydning|insinuation,insinuate, make insinuating remarks 
antågande|approaching, drawing close 
antända|set fire to,ignite 
anvisa|allot, assign; earmark, appropriate [funds, etc.] 
anvisning|directive,recommendation 
anvisning|remittance,order 
användarnamn|user name,log in the user name 
användbar|useful,usefulness 
använda|employ,use 
användning|usage,employment 
aorta|aorta,the body&amp;#39;s main artery 
apa|ape,monkey 
apanage|appanage,maintenance for a member of the family of a ruling house 
apa efter|imitate,mimic 
apart|odd,queer 
apartheid|apartheid,&amp;quot;once the official South African term for the policy of racial segregation&amp;quot; 
apati|apathy,lack of feeling or emotion 
apatisk|apathetic,lacking feeling or emotion 
apelsin|orange,orange juice 
aperitif|aperitif,an alcoholic drink taken before a meal to stimulate the appetite 
AP-fonden|the Pension Insurance Fund,&amp;quot;A fund administering the contributions paid in to the supplementary pensions (ATP) scheme. These contributions are distributed to pensioners entitled to supplementary pension under the ATP scheme.&amp;quot; 
apokalyptisk|apocalyptic,pertaining to the total destruction of the world, foreboding disaster 
apostel|apostle,one who begins to disseminate a belief, a missionary 
apostrof|apostrophe,a mark used to indicate the omission of letters or figures (as in &amp;quot;he wouldn&amp;#39;t&amp;quot;) 
apotek|chemist&amp;#39;s,(drugstore [US]) 
apparat|machine,apparatus 
apparatur|equipment,apparatus 
appell|call,appeal 
appellera|appeal,he appealed to her kindheartedness 
appendicit|appendicitis,acute inflammation of the appendix 
appendix|appendix,supplement (of a book) 
appendix|appendix,part of the caecum 
applicera|bring to bear,apply 
applikation|application 
applikation|appliqué,cutout decoration of cloth sewn to another piece of cloth 
applåd|applause,clapping (of hands) 
applådera|applaud, clap 
apport|fetch (it),retrieve (a stick, game, etc.) 
apport|fetch,the retrieval (of game, etc.) by a dog 
apportera|fetch,retrieve (game, etc.) 
approach|approach,a new approach to cinematics 
aprikos|apricot,the fruit of the tree Prunus armeniaca 
april|April,April fool&amp;#39;s joke 
april:väder|April weather,changeable weather 
apropå|apropos of,concerning 
aptera|adapt,arm 
aptit|appetite,have a zest for life 
arab|Arab,Arab 
arab|Arab,Arabian 
Arabförbundet|the Arab League,the League of Arab States 
arabiska|Arabic,a Semitic language (spoken by Arabs) 
arabiska| 
arbeta|work,labour 
arbeta in|knead,work in 
arbeta in|work extra hours (overtime),compensatory leave for overtime done 
arbeta över|work overtime,put in extra hours 
arbetare|(manual) labourer,workman 
arbetar:kommun|local branch of the (Swedish) Social Democratic Party 
arbetar:rörelse|working-class movement,the Labour Movement 
arbetar:skydd|industrial welfare (safety),Occupational Safety and Health Act 
